NGÀY,GIÁ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,GIÁ TB,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,OUTLIER_BLOCK_TRADE,LOG_RETURN,VOLATILITY_30D,MONTH
2022-07-14,50892.9457840168,300,0.00363636,50892.9457840168,51323.2001565869,50524.1563218137,82946.6621788399,891300,73930360000,1312200,109122704900,2203500,183053064900,0,0.00362976805057851,0.37726060717466176,7
2022-07-15,50524.1563218137,-600,-0.00724638,51630.5247084227,51630.5247084227,50524.1563218137,82971.2146422629,1382300,114691110000,419900,35189834400,1802200,149880944400,0,-0.007272759329081374,0.3693913443254354,7
2022-07-18,51015.875604751,800,0.00973236,50892.9457840168,51937.8492602587,50585.6212321809,83390.62376472449,1264900,105480800000,100000,8340440000,1364900,113821240000,0,0.00968530573446258,0.3714092453688257,7
2022-07-19,51015.875604751,0,0.0,50954.4106943839,51015.875604751,50524.1563218137,82578.88476463642,1185400,97889010000,1157400,96935442000,2342800,194824452000,0,0.0,0.3629799942257249,7
2022-07-20,52183.7089017273,1900,0.02289157,52245.1738120945,52798.3580053991,51630.5247084227,84922.39460844538,2848900,241935410000,1320380,112066400880,4169280,354001810880,0,0.022633485520705158,0.37148642654937325,7
2022-07-21,52245.1738120945,100,0.00117786,52798.3580053991,52798.3580053991,51937.8492602587,85401.96763108304,1804200,154082230000,708400,60277750000,2512600,214359980000,0,0.0011771631730152748,0.3712976255796486,7
2022-07-22,52306.6387224616,100,0.00117647,53105.6825572348,53167.147467602,52306.6387224616,85666.82221542227,1307200,111983670000,883400,76309860000,2190600,188293530000,0,0.001175779089010484,0.34803581656062466,7
2022-07-25,52491.0334535631,300,0.00352526,53474.4720194379,53474.4720194379,52306.6387224616,86302.48007480298,2245900,193826740000,0,0,2245900,193826740000,0,0.0035190652151954804,0.31397141586154037,7
2022-07-26,52122.2439913601,-600,-0.00702576,52859.8229157661,52859.8229157661,52122.2439913601,85390.64493267187,1128800,96388960000,311600,26865330400,1440400,123254290400,0,-0.007050557996666464,0.29801387872313945,7
2022-07-27,52368.1036328288,400,0.00471698,51999.3141706259,52368.1036328288,51876.3843498914,84731.26702113864,771100,65336280000,500132,42768087200,1271232,108104367200,0,0.004705891037413156,0.29418760889899537,7
